,0,percent
1AVB,1262,0.027950035435861092
2AVB,74,0.001638908575478384
2AVB1,32,0.0007087172218284905
2AVB2,0,0.0
3AVB,83,0.001838235294117647
ABI,3,6.644223954642097e-05
ALS,1692,0.03747342310418143
APB,1444,0.03198086463501063
AQW,1188,0.026311126860382707
ARS,944,0.020907158043940468
AVB,270,0.005979801559177888
CCR,179,0.003964386959603119
CR,85,0.0018825301204819277
ERV,403,0.00892540751240255
FQRS,4,8.858965272856131e-05
IDC,862,0.019091070163004962
IVB,862,0.019091070163004962
JEB,86,0.001904677533664068
JPT,13,0.00028791637136782423
LBBB,263,0.005824769666902906
LBBBB,263,0.005824769666902906
LFBBB,263,0.005824769666902906
LVH,709,0.01570251594613749
LVQRSAL,1140,0.02524805102763997
LVQRSCL,0,0.0
LVQRSLL,0,0.0
MI,136,0.0030120481927710845
MIBW,136,0.0030120481927710845
MIFW,136,0.0030120481927710845
MILW,136,0.0030120481927710845
MISW,136,0.0030120481927710845
PRIE,58,0.001284549964564139
PWC,155,0.0034328490432317506
QTIE,436,0.009656272147413183
RAH,43,0.000952338766832034
RBBB,721,0.015968284904323175
RVH,123,0.00272413182140326
STDD,1829,0.040507618710134655
STE,880,0.019489723600283487
STTC,1272,0.028171509567682496
STTU,198,0.004385187810063785
TWC,7733,0.17126594613749113
TWO,3180,0.07042877391920624
UW,153,0.00338855421686747
VB,5,0.00011073706591070163
VEB,60,0.0013288447909284196
VFW,128,0.002834868887313962
VPB,322,0.007131467044649185
VPE,12,0.0002657689581856839
VET,10,0.00022147413182140325
WAVN,2,4.4294826364280654e-05
WPW,77,0.001705350815024805
SB,18170,0.4024184975194897
SR,8929,0.19775425230333096
AFIB,1971,0.04365255138199858
ST,8000,0.1771793054571226
AF,8903,0.1971784195605953
SA,2778,0.061525513819985826
SVT,784,0.017363571934798015
AT,325,0.007197909284195606
AVNRT,0,0.0
AVRT,26,0.0005758327427356485
SAAWR,2,4.4294826364280654e-05
